month,observed,trend,seasonal,residual
2023-01-01,4041,4084.4208510843005,-43.075257371871,-0.34559371242949055
2023-02-01,3884,4213.124954497596,-328.8738382430743,-0.2511162545215484
2023-03-01,4565,4341.824403515795,223.33252569411607,-0.1569292099111408
2023-04-01,4488,4470.518928259552,17.544124892518337,-0.06305315207009698
2023-05-01,4846,4599.208338059901,246.76116626760145,0.030495672497636406
2023-06-01,5424,4727.892419835803,695.9838806663083,0.12369949788899248
2023-07-01,5278,4856.570776895163,421.2126936166285,0.21652948820792517
2023-08-01,5372,4985.24251194212,386.44856137921676,0.30892667866373813
2023-09-01,4925,5113.905472202429,-189.306228244041,0.4007560416112028
2023-10-01,4987,5242.554180594236,-256.0458591404622,0.491678546226467
2023-11-01,4884,5371.174082631569,-487.7548694108988,0.5807867793300829
2023-12-01,4732,5499.735667686933,-768.4018570680965,0.666189381163349
2024-01-01,5150,5628.233425953453,17.413156498582104,-495.64658245203464
2024-02-01,5396,5756.661704843,-361.4856758271383,0.8239709841382137
2024-03-01,5985,5882.674329569639,101.40584093860808,0.9198294917532621
2024-04-01,6899,5995.376859867561,1.8522756780044307,901.7708644544346
2024-05-01,7018,6092.45355261579,490.4207520982377,435.12569528597214
2024-06-01,6862,6180.08766830579,532.1411247409081,149.77120695330177
2024-07-01,8013,6263.112002608084,553.9498164708883,1195.9381809210272
2024-08-01,8131,6352.604068274769,544.8177333871979,1233.578198338033
2024-09-01,7914,6448.040587910065,-156.2694103182946,1622.2288224082295
2024-10-01,8235,6544.8899210405625,-295.3175609306616,1985.4276398900993
2024-11-01,7932,6642.825004081641,-658.3245238470257,1947.4995197653852
2024-12-01,6663,6750.020677206334,-852.7784858513608,765.7578086450267
2025-01-01,6949,6866.643350015867,77.90157036903523,4.45507961509702
2025-02-01,6797,6953.796491253579,-394.0975134112024,237.30102215762327
2025-03-01,7124,7037.497120330474,-20.520843816899877,107.0237234864262
2025-04-01,7109,7119.7405781703765,-13.839573536509468,3.09899536613284
2025-05-01,7938,7201.394254084913,734.0803379288737,2.525407986213395
2025-06-01,7653,7282.762512797433,368.29836881550784,1.9391183870584427
2025-07-01,8052,7363.967527074113,686.6869393251483,1.3455336007391452
2025-08-01,8149,7445.065822050631,703.1869053951793,0.7472725541892942
2025-09-01,7403,7526.086822298258,-123.23259239254824,0.14577009429012833
2025-10-01,7272,7607.047377061659,-334.58926272086103,-0.4581143407976924
2025-11-01,6858,7687.958007096524,-828.8941782831524,-1.0638288133714013
2025-12-01,6830,7768.826106445778,-937.1551146346255,-1.6709918111528168
