borough,total_searches,arrests,drug_searches,black_searches,white_searches,arrest_rate,black_pct,avg_crime_rate,avg_imd_decile
Barking and Dagenham,9481,1342,5366,2782,4222,14.2,39.7,304.5223419585451,2.701923076923077
Barnet,4053,836,2229,1192,1819,20.6,39.6,268.5935606345838,6.439024390243903
Bexley,10539,1481,6752,2429,7056,14.1,25.6,225.17419487073218,6.566433566433567
Brent,16085,2590,10217,7080,4287,16.1,62.3,336.63639499129107,4.203592814371257
Bromley,7096,1274,3598,2183,4275,18.0,33.8,243.85181366169036,7.1179487179487175
Camden,9160,1542,5741,3507,3816,16.8,47.9,544.9639759962554,5.467741935483871
City of London,29007,5058,15444,10655,11486,17.4,48.1,1100.9033456572558,6.666666666666667
Croydon,15617,2677,9223,7493,4934,17.1,60.3,278.1785102207121,5.088785046728972
Ealing,6907,1113,4107,2484,2081,16.1,54.4,315.39761609115715,4.808290155440415
Enfield,10927,1836,7129,4138,5273,16.8,44.0,323.6782283034769,4.4
Greenwich,11625,1764,7054,4752,5245,15.2,47.5,316.81271248173005,4.388489208633094
Hackney,10320,1966,5036,5073,3504,19.1,59.1,432.5422730767393,2.735294117647059
Hammersmith and Fulham,12041,2054,6904,5254,4131,17.1,56.0,391.94499738358473,4.828828828828829
Haringey,12821,2237,7161,5442,5634,17.4,49.1,402.37522825153366,3.9160839160839163
Harrow,6633,963,4034,1939,2320,14.5,45.5,218.91297571683486,6.598484848484849
Havering,11253,1631,6372,2760,6865,14.5,28.7,259.9873482397829,6.358108108108108
Hillingdon,8877,1611,4987,2397,3284,18.1,42.2,290.90068044027174,5.993464052287582
Hounslow,10312,1830,6620,2507,3091,17.7,44.8,333.16218379565754,4.866666666666666
Islington,14739,2607,8446,6119,5933,17.7,50.8,496.00661064725523,3.6416666666666666
Kensington and Chelsea,13958,1790,5404,7322,3572,12.8,67.2,556.8788775153322,5.111111111111111
Kingston upon Thames,5002,801,3408,992,2922,16.0,25.3,213.6212045802313,7.628865979381444
Lambeth,19060,3775,10503,12686,4250,19.8,74.9,400.5102138611637,3.965909090909091
Lewisham,15447,3143,8224,8358,5374,20.3,60.9,349.94566531770505,3.7771084337349397
Merton,4691,909,2589,1593,2058,19.4,43.6,230.55811244641285,6.901639344262295
Newham,17669,2534,11490,6241,6166,14.3,50.3,363.5163595362391,3.046666666666667
Redbridge,11170,1587,7432,2648,3703,14.2,41.7,270.7423812075096,6.025316455696203
Richmond upon Thames,2078,395,1079,483,1163,19.0,29.3,225.24069135823436,8.321739130434782
Southwark,15412,3001,7909,9399,4284,19.5,68.7,408.08300409658756,4.116883116883117
Sutton,4170,645,2180,1081,2517,15.5,30.0,205.85402804140915,7.126050420168068
Tower Hamlets,17385,2755,11463,4667,4835,15.8,49.1,446.5237351087637,3.6610169491525424
Waltham Forest,12490,1801,7752,4323,4630,14.4,48.3,322.01398736387677,4.077464788732394
Wandsworth,7480,1314,4311,3455,2786,17.6,55.4,284.5758283575224,6.2298850574712645
Westminster,24549,4665,11009,8515,8077,19.0,51.3,699.404347883223,5.373913043478261
