borough,total_searches,arrest_rate,black_pct,lat,lon
Barking and Dagenham,14126,13.3,29.1,51.5362,0.0798
Barnet,3145,19.6,29.2,51.6252,-0.1517
Bexley,8942,14.3,22.8,51.4549,0.1505
Brent,16809,16.9,42.7,51.5588,-0.2817
Bromley,8444,18.4,28.2,51.4039,0.0198
Camden,21786,17.7,37.8,51.529,-0.1255
City of London,12233,16.7,34.3,51.5155,-0.0922
Croydon,16058,17.0,47.3,51.3714,-0.0977
Ealing,7806,15.8,36.9,51.513,-0.3089
Enfield,6999,17.5,34.2,51.6521,-0.0807
Greenwich,6597,18.0,48.9,51.4934,0.0098
Hackney,15660,17.2,41.4,51.545,-0.0553
Hammersmith and Fulham,8935,17.8,43.6,51.4927,-0.2339
Haringey,17435,17.2,43.8,51.5906,-0.1119
Harrow,7853,15.0,29.1,51.5836,-0.3464
Havering,12788,14.4,25.2,51.5779,0.212
Hillingdon,5541,18.6,25.4,51.5441,-0.476
Hounslow,12219,17.5,25.5,51.4746,-0.368
Islington,11884,17.5,43.1,51.5416,-0.1022
Kensington and Chelsea,21019,14.3,45.9,51.4991,-0.1938
Kingston upon Thames,4850,15.9,19.5,51.4123,-0.3007
Lambeth,19015,19.6,68.3,51.4571,-0.1231
Lewisham,13642,20.9,52.0,51.4415,-0.0117
Merton,6079,19.5,35.3,51.4014,-0.1958
Newham,11560,13.5,41.2,51.5077,0.0469
Redbridge,12612,15.2,24.6,51.559,0.0741
Richmond upon Thames,1803,18.5,21.5,51.4479,-0.326
Southwark,23649,18.4,49.2,51.5035,-0.0804
Sutton,3678,14.9,25.2,51.3618,-0.1945
Tower Hamlets,12230,15.0,31.7,51.5099,-0.0059
Waltham Forest,13026,14.7,35.1,51.5908,-0.0134
Wandsworth,7179,17.4,44.8,51.4567,-0.1919
Westminster,22459,19.2,37.1,51.4975,-0.1357
nan,24142,14.6,35.8,,
