month,object_of_search,count
2023-01-01,Anything to threaten or harm anyone,40
2023-01-01,Article for use in theft,15
2023-01-01,Articles for use in criminal damage,87
2023-01-01,Controlled drugs,10472
2023-01-01,Evidence of offences under the Act,665
2023-01-01,Firearms,77
2023-01-01,Fireworks,40
2023-01-01,Offensive weapons,2556
2023-01-01,Stolen goods,2581
2023-02-01,Anything to threaten or harm anyone,51
2023-02-01,Article for use in theft,27
2023-02-01,Articles for use in criminal damage,96
2023-02-01,Controlled drugs,8015
2023-02-01,Evidence of offences under the Act,672
2023-02-01,Firearms,69
2023-02-01,Fireworks,7
2023-02-01,Offensive weapons,2412
2023-02-01,Stolen goods,2428
2023-03-01,Anything to threaten or harm anyone,30
2023-03-01,Article for use in theft,28
2023-03-01,Articles for use in criminal damage,64
2023-03-01,Controlled drugs,8330
2023-03-01,Evidence of offences under the Act,662
2023-03-01,Firearms,69
2023-03-01,Fireworks,11
2023-03-01,Game or poaching equipment,1
2023-03-01,Offensive weapons,2620
2023-03-01,Stolen goods,2659
2023-04-01,Anything to threaten or harm anyone,24
2023-04-01,Article for use in theft,29
2023-04-01,Articles for use in criminal damage,86
2023-04-01,Controlled drugs,6805
2023-04-01,Evidence of offences under the Act,566
2023-04-01,Firearms,72
2023-04-01,Fireworks,16
2023-04-01,Offensive weapons,2370
2023-04-01,Stolen goods,2340
2023-05-01,Anything to threaten or harm anyone,34
2023-05-01,Article for use in theft,24
2023-05-01,Articles for use in criminal damage,107
2023-05-01,Controlled drugs,6840
2023-05-01,Evidence of offences under the Act,590
2023-05-01,Firearms,100
2023-05-01,Fireworks,12
2023-05-01,Offensive weapons,2613
2023-05-01,Stolen goods,2297
2023-06-01,Anything to threaten or harm anyone,53
2023-06-01,Article for use in theft,30
2023-06-01,Articles for use in criminal damage,57
2023-06-01,Controlled drugs,6532
2023-06-01,Evidence of offences under the Act,461
2023-06-01,Firearms,120
2023-06-01,Fireworks,22
2023-06-01,Offensive weapons,2437
2023-06-01,Stolen goods,2023
2023-07-01,Anything to threaten or harm anyone,28
2023-07-01,Article for use in theft,43
2023-07-01,Articles for use in criminal damage,76
2023-07-01,Controlled drugs,7800
2023-07-01,Evidence of offences under the Act,601
2023-07-01,Firearms,109
2023-07-01,Fireworks,12
2023-07-01,Offensive weapons,2333
2023-07-01,Psychoactive substances,1
2023-07-01,Stolen goods,2273
2023-08-01,Anything to threaten or harm anyone,669
2023-08-01,Article for use in theft,56
2023-08-01,Articles for use in criminal damage,59
2023-08-01,Controlled drugs,7934
2023-08-01,Evidence of offences under the Act,630
2023-08-01,Firearms,88
2023-08-01,Fireworks,21
2023-08-01,Offensive weapons,2485
2023-08-01,Psychoactive substances,7
2023-08-01,Stolen goods,2340
2023-09-01,Anything to threaten or harm anyone,11
2023-09-01,Article for use in theft,39
2023-09-01,Articles for use in criminal damage,64
2023-09-01,Controlled drugs,7225
2023-09-01,Evidence of offences under the Act,554
2023-09-01,Firearms,83
2023-09-01,Fireworks,29
2023-09-01,Offensive weapons,2218
2023-09-01,Psychoactive substances,1
2023-09-01,Stolen goods,1985
2023-10-01,Anything to threaten or harm anyone,55
2023-10-01,Article for use in theft,47
2023-10-01,Articles for use in criminal damage,97
2023-10-01,Controlled drugs,6574
2023-10-01,Evidence of offences under the Act,512
2023-10-01,Firearms,74
2023-10-01,Fireworks,331
2023-10-01,Offensive weapons,2147
2023-10-01,Stolen goods,2078
2023-11-01,Anything to threaten or harm anyone,300
2023-11-01,Article for use in theft,37
2023-11-01,Articles for use in criminal damage,56
2023-11-01,Controlled drugs,5046
2023-11-01,Evidence of offences under the Act,427
2023-11-01,Firearms,77
2023-11-01,Fireworks,162
2023-11-01,Offensive weapons,1460
2023-11-01,Stolen goods,1723
2023-12-01,Anything to threaten or harm anyone,86
2023-12-01,Article for use in theft,30
2023-12-01,Articles for use in criminal damage,56
2023-12-01,Controlled drugs,5093
2023-12-01,Evidence of offences under the Act,474
2023-12-01,Firearms,70
2023-12-01,Fireworks,20
2023-12-01,Offensive weapons,1568
2023-12-01,Stolen goods,1849
2024-01-01,Article for use in theft,44
2024-01-01,Articles for use in criminal damage,45
2024-01-01,Controlled drugs,5577
2024-01-01,Evidence of offences under the Act,516
2024-01-01,Firearms,43
2024-01-01,Fireworks,24
2024-01-01,Offensive weapons,1669
2024-01-01,Psychoactive substances,1
2024-01-01,Stolen goods,1942
2024-02-01,Anything to threaten or harm anyone,18
2024-02-01,Article for use in theft,28
2024-02-01,Articles for use in criminal damage,58
2024-02-01,Controlled drugs,5073
2024-02-01,Detailed object of search unavailable,1
2024-02-01,Evidence of offences under the Act,488
2024-02-01,Firearms,69
2024-02-01,Fireworks,13
2024-02-01,Offensive weapons,1645
2024-02-01,Stolen goods,1913
2024-03-01,Anything to threaten or harm anyone,14
2024-03-01,Article for use in theft,34
2024-03-01,Articles for use in criminal damage,65
2024-03-01,Controlled drugs,6239
2024-03-01,Evidence of offences under the Act,426
2024-03-01,Firearms,55
2024-03-01,Fireworks,7
2024-03-01,Goods on which duty has not been paid etc.,1
2024-03-01,Offensive weapons,1758
2024-03-01,Psychoactive substances,1
2024-03-01,Stolen goods,2304
2024-04-01,Anything to threaten or harm anyone,2
2024-04-01,Article for use in theft,39
2024-04-01,Articles for use in criminal damage,51
2024-04-01,Controlled drugs,5139
2024-04-01,Evidence of offences under the Act,335
2024-04-01,Firearms,56
2024-04-01,Fireworks,12
2024-04-01,Offensive weapons,1481
2024-04-01,Psychoactive substances,1
2024-04-01,Stolen goods,2108
2024-05-01,Anything to threaten or harm anyone,23
2024-05-01,Article for use in theft,33
2024-05-01,Articles for use in criminal damage,31
2024-05-01,Controlled drugs,5193
2024-05-01,Evidence of offences under the Act,303
2024-05-01,Firearms,61
2024-05-01,Fireworks,9
2024-05-01,Offensive weapons,1665
2024-05-01,Psychoactive substances,4
2024-05-01,Stolen goods,2032
2024-06-01,Anything to threaten or harm anyone,16
2024-06-01,Article for use in theft,31
2024-06-01,Articles for use in criminal damage,41
2024-06-01,Controlled drugs,4856
2024-06-01,Evidence of offences under the Act,304
2024-06-01,Firearms,93
2024-06-01,Fireworks,9
2024-06-01,Offensive weapons,1422
2024-06-01,Psychoactive substances,2
2024-06-01,Stolen goods,2129
2024-07-01,Anything to threaten or harm anyone,18
2024-07-01,Article for use in theft,39
2024-07-01,Articles for use in criminal damage,49
2024-07-01,Controlled drugs,5195
2024-07-01,Evidence of offences under the Act,307
2024-07-01,Firearms,60
2024-07-01,Fireworks,7
2024-07-01,Offensive weapons,1318
2024-07-01,Stolen goods,2010
2024-08-01,Anything to threaten or harm anyone,1127
2024-08-01,Article for use in theft,35
2024-08-01,Articles for use in criminal damage,40
2024-08-01,Controlled drugs,5523
2024-08-01,Evidence of offences under the Act,383
2024-08-01,Firearms,51
2024-08-01,Fireworks,8
2024-08-01,Offensive weapons,1567
2024-08-01,Psychoactive substances,9
2024-08-01,Stolen goods,2162
2024-09-01,Anything to threaten or harm anyone,60
2024-09-01,Article for use in theft,21
2024-09-01,Articles for use in criminal damage,34
2024-09-01,Controlled drugs,5957
2024-09-01,Evidence of offences under the Act,428
2024-09-01,Firearms,87
2024-09-01,Fireworks,18
2024-09-01,Offensive weapons,1467
2024-09-01,Psychoactive substances,2
2024-09-01,Stolen goods,2200
2024-10-01,Anything to threaten or harm anyone,14
2024-10-01,Article for use in theft,27
2024-10-01,Articles for use in criminal damage,66
2024-10-01,Controlled drugs,6405
2024-10-01,Evidence of offences under the Act,339
2024-10-01,Firearms,46
2024-10-01,Fireworks,246
2024-10-01,Offensive weapons,1582
2024-10-01,Stolen goods,2400
2024-11-01,Anything to threaten or harm anyone,4
2024-11-01,Article for use in theft,23
2024-11-01,Articles for use in criminal damage,46
2024-11-01,Controlled drugs,6703
2024-11-01,Evidence of offences under the Act,425
2024-11-01,Firearms,53
2024-11-01,Fireworks,86
2024-11-01,Offensive weapons,1354
2024-11-01,Stolen goods,2591
2024-12-01,Anything to threaten or harm anyone,1
2024-12-01,Article for use in theft,18
2024-12-01,Articles for use in criminal damage,44
2024-12-01,Controlled drugs,5488
2024-12-01,Evidence of offences under the Act,396
2024-12-01,Firearms,45
2024-12-01,Fireworks,20
2024-12-01,Offensive weapons,1229
2024-12-01,Psychoactive substances,1
2024-12-01,Stolen goods,2148
2025-01-01,Anything to threaten or harm anyone,124
2025-01-01,Article for use in theft,25
2025-01-01,Articles for use in criminal damage,53
2025-01-01,Controlled drugs,6939
2025-01-01,Evidence of offences under the Act,468
2025-01-01,Firearms,37
2025-01-01,Fireworks,23
2025-01-01,Offensive weapons,1642
2025-01-01,Stolen goods,2458
2025-02-01,Anything to threaten or harm anyone,1
2025-02-01,Article for use in theft,30
2025-02-01,Articles for use in criminal damage,45
2025-02-01,Controlled drugs,6300
2025-02-01,Evidence of offences under the Act,414
2025-02-01,Firearms,34
2025-02-01,Fireworks,3
2025-02-01,Offensive weapons,1431
2025-02-01,Stolen goods,2342
2025-03-01,Anything to threaten or harm anyone,24
2025-03-01,Article for use in theft,17
2025-03-01,Articles for use in criminal damage,57
2025-03-01,Controlled drugs,6508
2025-03-01,Evidence of offences under the Act,456
2025-03-01,Firearms,45
2025-03-01,Fireworks,6
2025-03-01,Offensive weapons,1713
2025-03-01,Psychoactive substances,2
2025-03-01,Stolen goods,2424
2025-04-01,Anything to threaten or harm anyone,140
2025-04-01,Article for use in theft,26
2025-04-01,Articles for use in criminal damage,62
2025-04-01,Controlled drugs,6072
2025-04-01,Evidence of offences under the Act,448
2025-04-01,Firearms,48
2025-04-01,Fireworks,18
2025-04-01,Offensive weapons,1603
2025-04-01,Stolen goods,2476
2025-05-01,Anything to threaten or harm anyone,6
2025-05-01,Article for use in theft,26
2025-05-01,Articles for use in criminal damage,72
2025-05-01,Controlled drugs,6211
2025-05-01,Evidence of offences under the Act,395
2025-05-01,Firearms,58
2025-05-01,Fireworks,22
2025-05-01,Offensive weapons,1635
2025-05-01,Psychoactive substances,1
2025-05-01,Stolen goods,2400
2025-06-01,Anything to threaten or harm anyone,8
2025-06-01,Article for use in theft,30
2025-06-01,Articles for use in criminal damage,45
2025-06-01,Controlled drugs,6257
2025-06-01,Evidence of offences under the Act,425
2025-06-01,Firearms,49
2025-06-01,Fireworks,14
2025-06-01,Goods on which duty has not been paid etc.,1
2025-06-01,Offensive weapons,1499
2025-06-01,Stolen goods,2243
2025-07-01,Anything to threaten or harm anyone,21
2025-07-01,Article for use in theft,21
2025-07-01,Articles for use in criminal damage,58
2025-07-01,Controlled drugs,6480
2025-07-01,Evidence of offences under the Act,402
2025-07-01,Firearms,43
2025-07-01,Fireworks,11
2025-07-01,Offensive weapons,1605
2025-07-01,Psychoactive substances,6
2025-07-01,Stolen goods,2467
2025-08-01,Anything to threaten or harm anyone,2506
2025-08-01,Article for use in theft,19
2025-08-01,Articles for use in criminal damage,53
2025-08-01,Controlled drugs,7809
2025-08-01,Evidence of offences under the Act,464
2025-08-01,Firearms,28
2025-08-01,Fireworks,11
2025-08-01,Offensive weapons,1907
2025-08-01,Psychoactive substances,4
2025-08-01,Stolen goods,2408
2025-09-01,Article for use in theft,19
2025-09-01,Articles for use in criminal damage,59
2025-09-01,Controlled drugs,6943
2025-09-01,Detailed object of search unavailable,1
2025-09-01,Evidence of offences under the Act,415
2025-09-01,Firearms,116
2025-09-01,Fireworks,41
2025-09-01,Offensive weapons,1346
2025-09-01,Psychoactive substances,2
2025-09-01,Stolen goods,2285
2025-10-01,Anything to threaten or harm anyone,68
2025-10-01,Article for use in theft,18
2025-10-01,Articles for use in criminal damage,73
2025-10-01,Controlled drugs,6910
2025-10-01,Evidence of offences under the Act,440
2025-10-01,Firearms,44
2025-10-01,Fireworks,273
2025-10-01,Offensive weapons,1637
2025-10-01,Stolen goods,2359
2025-11-01,Anything to threaten or harm anyone,60
2025-11-01,Article for use in theft,19
2025-11-01,Articles for use in criminal damage,47
2025-11-01,Controlled drugs,7343
2025-11-01,Evidence of offences under the Act,465
2025-11-01,Firearms,48
2025-11-01,Fireworks,117
2025-11-01,Offensive weapons,1629
2025-11-01,Psychoactive substances,1
2025-11-01,Stolen goods,2718
2025-12-01,Anything to threaten or harm anyone,66
2025-12-01,Article for use in theft,17
2025-12-01,Articles for use in criminal damage,49
2025-12-01,Controlled drugs,7323
2025-12-01,Evidence of offences under the Act,470
2025-12-01,Firearms,41
2025-12-01,Fireworks,15
2025-12-01,Offensive weapons,1513
2025-12-01,Psychoactive substances,3
2025-12-01,Stolen goods,2443
