object_of_search,total,arrest_rate
Stolen goods,81538.0,24.3
Evidence of offences under the Act,16726.0,21.6
Article for use in theft,1044.0,21.1
Firearms,2318.0,20.1
Articles for use in criminal damage,2148.0,19.8
Offensive weapons,64536.0,19.6
Psychoactive substances,49.0,16.3
Controlled drugs,235109.0,13.2
Anything to threaten or harm anyone,5702.0,6.4
Fireworks,1696.0,4.4
Detailed object of search unavailable,2.0,0.0
Game or poaching equipment,1.0,0.0
Goods on which duty has not been paid etc.,2.0,0.0
